Date,AMZN_P,BABA_P,WMT_P,AAPL_P,JD_P,AMZN_V,BABA_V,WMT_V,AAPL_V,JD_V
2020-05-08,2379.610107,201.1900024,120.5646362,76.89836121,46.77999878,3206600,23819700,6943600,133838400,14090800
2020-05-11,2409,205.3999939,121.2805176,78.10837555,46.72000122,3259200,17920700,8447300,145946400,11336100
2020-05-12,2356.949951,200.3099976,121.3883972,77.21573639,47.02999878,3074900,17826800,6366700,162301200,15412800
2020-05-13,2367.919922,199.4600067,121.3197632,76.28343964,47.81000137,4782900,22429700,9725100,200622400,23115900
2020-05-14,2388.850098,201.3000031,121.035347,76.75206757,48.95999908,3648100,20025900,7411000,158929200,27173000
2020-05-15,2409.780029,203.6799927,123.5066605,76.29830933,50.84999847,4235000,17209500,10590000,166348400,40414500
2020-05-18,2426.26001,215.2799988,125.1934357,78.09598541,55.52999878,4357200,23556600,12877900,135178400,28485200
2020-05-19,2449.330078,217.1999969,122.5357895,77.64470673,54.25999832,4320500,21438100,24915400,101729600,20991700
2020-05-20,2497.939941,216.7899933,123.0261307,79.15476227,54.31000137,3998100,38324100,10748800,111504800,29858300
2020-05-21,2446.73999,212.1600037,122.5750198,78.56462097,52.56999969,5114400,29850700,7482700,102688800,19364700
2020-05-22,2436.879883,199.6999969,121.9277725,79.07045746,49.90000153,2867100,51979300,7453200,81803200,22601900
2020-05-26,2421.860107,201.7200012,121.4668579,78.53486633,52.59999847,3568200,28683200,7910200,125522000,21407400
2020-05-27,2410.389893,201.1799927,120.1135254,78.87704468,52.15999985,5056900,23605400,10357900,112945200,16495900
2020-05-28,2401.100098,199.4900055,121.3001328,78.91175842,51.02000046,3190200,18763200,8141600,133560800,10638700
2020-05-29,2442.370117,207.3899994,121.6629791,78.83489227,54.33000183,3509900,43179500,9770400,153532400,16917900
2020-06-01,2471.040039,206.5700073,121.5649185,79.80439758,54.72999954,2928900,16169700,6850100,80791200,11045800
2020-06-02,2472.409912,214.3300018,121.545311,80.17385101,55.61999893,2529900,22485800,6395900,87642800,15409400
2020-06-03,2478.399902,218.6100006,121.0843887,80.61520386,56.72999954,2671000,19999500,6754300,104491200,13526500
2020-06-04,2460.600098,218.0399933,119.7506638,79.92093658,56.52000046,2948700,14962400,8005000,87560400,10539700
2020-06-05,2483,219.5500031,119.2112885,82.1971817,59.04000092,3306400,11983200,13112400,137250400,17635200
2020-06-08,2524.060059,219,118.8974762,82.68315125,59.16999817,3970700,12731200,9448100,95654400,11622300
2020-06-09,2600.860107,220.7200012,119.0053482,85.29412079,58.81999969,5176000,14140100,6915400,147712400,11701800
2020-06-10,2647.449951,223.6799927,118.8190231,87.48852539,60.70000076,4946000,13372400,9380500,166651600,11565600
2020-06-11,2557.959961,215.2400055,117.7696915,83.28816986,57.24000168,5800100,15560300,11387600,201662400,19631000
2020-06-12,2545.02002,217.6399994,115.4650955,84.0072403,57.99000168,5436100,12716500,10786400,200146000,14544800
2020-06-15,2572.679932,217.0299988,115.7985306,85.04616547,59.50999832,3865100,17419900,10901100,138808800,12181000
2020-06-16,2615.27002,222.6199951,117.3381882,87.30007935,60.97999954,3585600,17212400,8389200,165428800,16246500
2020-06-17,2640.97998,224.25,116.7301788,87.17858887,62.00999832,2959300,12486700,6722300,114406400,24165200
2020-06-18,2653.97998,223.5399933,115.7102585,87.21330261,60.79000092,2487800,10358800,6690000,96820400,40121200
2020-06-19,2675.01001,220.6399994,117.5343323,86.71491241,58.63999939,5777000,19545200,13359600,264476000,23173100
2020-06-22,2713.820068,221.4100037,119.3289719,88.98369598,59.09000015,3208800,13303600,9112800,135445200,15445900
2020-06-23,2764.409912,228.75,118.730751,90.88303375,59.91999817,4231700,18263400,6575900,212155600,10271200
2020-06-24,2734.399902,226.2200012,117.9756393,89.27877045,59.84000015,4526600,12159500,6871600,192623200,11820300
2020-06-25,2754.580078,222.1600037,117.3970337,90.46398926,60.50999832,2968700,14953100,6856600,137522400,7796300
2020-06-26,2692.870117,215.7100067,116.0338974,87.68442535,59.65000153,6500800,19340600,8997200,205256800,12460400
2020-06-29,2680.379883,215.0200043,116.7595901,89.7052536,59.58000183,4223400,12333000,5503800,130646000,8217600
2020-06-30,2758.820068,215.6999969,117.465683,90.45407104,60.18000031,3769700,12933800,6836400,140223200,10555900
2020-07-01,2878.699951,215.9499969,117.3774185,90.2829895,60,6363400,11788100,6577900,110737200,6432300
2020-07-02,2890.300049,223.6000061,116.9067001,90.2829895,61.38999939,6593400,18128700,5898600,114041600,10492800
2020-07-06,3057.040039,240,116.5928802,92.69807434,63.24000168,6880600,33702900,7231700,118655600,16273400
2020-07-07,3000.120117,236.5099945,124.4971542,92.41043854,61.66999817,5257500,16491600,31152700,112424400,8974500
2020-07-08,3081.110107,257.6799927,122.0356522,94.56269836,65.37999725,5037600,39922700,17405700,117092000,21605900
2020-07-09,3182.629883,261.5799866,125.2816925,94.96934509,67.36000061,6388700,36803900,14257200,125642800,17759000
2020-07-10,3200,261.0100098,128.1550598,95.13548279,65.61000061,5486000,20335000,14745600,90257200,10317900
2020-07-13,3104,251.6699982,127.0174942,94.69659424,62.29999924,7720400,21568700,14112800,191649200,14758900
2020-07-14,3084,248.5800018,129.4593811,96.26367188,62.13000107,7231900,19782600,8818600,170989200,14769900
2020-07-15,3008.870117,249.2100067,129.4495697,96.92571259,62.54999924,5788900,12614700,10577100,153198000,8188400
2020-07-16,2999.899902,242.5,129.6457214,95.73304749,61.70999908,6394200,18032100,5892200,110577600,11105500
2020-07-17,2961.969971,247.1399994,129.1945953,95.53964233,62.13000107,4761300,18742400,6063200,92186800,5404300
2020-07-20,3196.840088,254.8099976,128.9298096,97.55303955,63.40000153,7598200,19015000,6114200,90318000,10546200
2020-07-21,3138.290039,257.8999939,129.7732086,96.20664215,62.61000061,6121300,17120700,7237500,103433200,14538300
2020-07-22,3099.909912,251.6999969,130.096817,96.47690582,61.84000015,4104200,19682200,5388200,89001600,9616100
2020-07-23,2986.550049,251.8800049,129.0965271,92.08562469,60.52000046,5656900,25712000,5598800,197004400,11889900
2020-07-24,3008.909912,249,128.7042389,91.8575058,60.88000107,5632400,17221500,4345800,185438800,11670800
2020-07-27,3055.209961,250.8600006,128.6748352,94.0345459,62.77999878,4170500,18966900,4681900,121214000,9133400
2020-07-28,3000.330078,249.0500031,129.2142181,92.4897995,61.49000168,3126700,9878700,4804700,103625600,5823100
2020-07-29,3033.530029,252.4499969,128.1648865,94.26266479,62.59000015,2974100,11493600,4741100,90329200,5656000
2020-07-30,3051.879883,252.7400055,127.6059036,95.40326691,62.29000092,6128300,7032900,4596100,158130000,5653200
2020-07-31,3164.679932,251.0200043,126.8998108,105.3909073,63.79000092,8085500,12304100,7210500,374336800,11237600
2020-08-03,3111.889893,257.9400024,126.8017502,108.0465012,64.52999878,5074700,11530300,4990500,308151200,10036100
2020-08-04,3138.830078,262.2000122,129.0965271,108.7680511,64.56999969,4694300,10994500,6073200,173071600,7548200
2020-08-05,3205.030029,264.9100037,127.3018875,109.1622925,65.51999664,3916500,10673800,8494500,121776800,9148400
2020-08-06,3225,265.6799927,126.8507996,112.9708862,64.91000366,3940600,10359500,4832100,202428800,10765300
2020-08-07,3167.459961,252.1000061,127.4588165,110.4024124,62.06000137,3936100,22529600,5519500,198045600,14099100
2020-08-10,3148.159912,248.1300049,129.3318939,112.0070953,61.49000168,3167300,13621700,5894400,212403600,12736000
2020-08-11,3080.669922,248.4199982,127.6843414,108.6760101,61.18000031,3718100,10681800,8453400,187902400,10213200
2020-08-12,3162.23999,255.1900024,129.3416901,112.2877808,62.90000153,3522100,11112300,6364800,165598000,6933100
